Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2001,Will Perdue,C,35,POR,3,0,5,0,0,,0,0,,0,0,,,0,2,0,1,1,2,0,0,0,0,0,0
2001,Sam Perkins,PF,39,IND,3,0,19,2,8,0.25,1,4,0.25,1,4,0.25,0.313,0,0,,1,3,4,0,0,0,0,3,5
2001,Elliot Perry,PG,31,PHO,2,0,17,6,10,0.6,0,1,0,6,9,0.667,0.6,1,1,1,1,3,4,4,2,0,0,0,13
2001,Morris Peterson,SG,23,TOR,8,3,110,18,35,0.514,4,9,0.444,14,26,0.538,0.571,3,4,0.75,2,10,12,15,6,0,6,10,43
2001,Scottie Pippen*,SF,35,POR,3,3,117,16,38,0.421,3,17,0.176,13,21,0.619,0.461,6,9,0.667,2,15,17,7,8,2,12,14,41
2001,Scot Pollard,C,25,SAC,8,0,141,19,30,0.633,0,0,,19,30,0.633,0.633,10,17,0.588,23,32,55,2,1,7,6,30,48
2001,Olden Polynice,C,36,UTA,5,5,100,16,30,0.533,0,1,0,16,29,0.552,0.533,7,10,0.7,16,3,19,1,1,2,6,12,39
2001,Mark Pope,PF,28,MIL,6,3,46,5,10,0.5,0,1,0,5,9,0.556,0.5,0,0,,5,7,12,2,2,0,0,6,10
2001,Terry Porter,PG,37,SAS,13,13,326,39,86,0.453,13,39,0.333,26,47,0.553,0.529,17,22,0.773,1,23,24,44,11,0,22,15,108
2001,Joel Przybilla,C,21,MIL,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
2001,Eldridge Recasner,PG,33,CHH,2,0,9,0,1,0,0,0,,0,1,0,0,3,4,0.75,0,1,1,2,0,0,1,0,3
2001,Don Reid,PF,27,ORL,3,0,25,4,5,0.8,0,1,0,4,4,1,0.8,2,6,0.333,5,6,11,0,1,2,2,9,10
2001,Glen Rice,SF,33,NYK,5,0,144,24,52,0.462,6,14,0.429,18,38,0.474,0.519,7,8,0.875,3,19,22,3,3,1,7,10,61
2001,Clifford Robinson,PF,34,PHO,4,4,114,21,50,0.42,4,16,0.25,17,34,0.5,0.46,14,22,0.636,6,10,16,4,6,2,9,14,60
2001,David Robinson*,C,35,SAS,13,13,409,75,159,0.472,0,1,0,75,158,0.475,0.472,66,95,0.695,39,114,153,22,17,31,28,42,216
2001,Eddie Robinson,SF,24,CHH,10,0,192,31,60,0.517,1,3,0.333,30,57,0.526,0.525,6,6,1,9,24,33,9,4,4,5,12,69
2001,Glenn Robinson,SF,28,MIL,18,18,687,138,322,0.429,24,62,0.387,114,260,0.438,0.466,50,56,0.893,26,90,116,60,11,24,46,43,350
2001,Rodney Rogers,SF,29,PHO,4,0,82,12,40,0.3,2,10,0.2,10,30,0.333,0.325,9,14,0.643,3,11,14,2,2,3,5,16,35
2001,Jalen Rose,SF,28,IND,4,4,164,30,79,0.38,5,16,0.313,25,63,0.397,0.411,7,7,1,3,15,18,11,6,1,9,18,72
2001,Malik Rose,PF,26,SAS,13,0,215,23,55,0.418,1,3,0.333,22,52,0.423,0.427,17,20,0.85,16,33,49,4,3,1,10,38,64
2001,Bryon Russell,SF,30,UTA,5,5,214,25,56,0.446,10,22,0.455,15,34,0.441,0.536,11,12,0.917,4,32,36,15,3,1,2,13,71
2001,Arvydas Sabonis*,C,36,POR,3,3,104,14,29,0.483,0,2,0,14,27,0.519,0.483,6,8,0.75,8,17,25,8,1,7,2,12,34
2001,Daniel Santiago,C,24,PHO,1,0,12,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,4,5,0,0,2,1,2,2
2001,Detlef Schrempf,SF,38,POR,3,0,32,4,6,0.667,2,3,0.667,2,3,0.667,0.833,4,6,0.667,0,5,5,1,0,0,2,3,14
2001,Shawnelle Scott,C,28,SAS,7,0,13,1,4,0.25,0,2,0,1,2,0.5,0.25,1,1,1,0,2,2,0,0,0,3,2,3
2001,Brian Shaw,SG,34,LAL,16,0,290,27,72,0.375,10,29,0.345,17,43,0.395,0.444,6,9,0.667,10,45,55,43,10,1,16,37,70
2001,Reggie Slater,PF,30,MIN,4,0,52,6,16,0.375,0,0,,6,16,0.375,0.375,1,2,0.5,5,9,14,0,2,3,3,15,13
2001,Steve Smith,SG,31,POR,3,3,122,16,34,0.471,4,11,0.364,12,23,0.522,0.529,15,16,0.938,5,8,13,7,2,1,10,3,51
2001,Eric Snow,PG,27,PHI,23,9,717,87,210,0.414,0,7,0,87,203,0.429,0.414,40,55,0.727,26,60,86,104,27,2,45,63,214
2001,Felton Spencer,C,33,NYK,2,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,2,0
2001,Latrell Sprewell,SF,30,NYK,5,5,212,35,86,0.407,3,14,0.214,32,72,0.444,0.424,19,25,0.76,3,12,15,17,5,1,20,17,92
